Rank,Anime_name,Anime_link,Ratings
82,Evangelion: 3.0+1.0 Thrice Upon a Time,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,8.61
83,Suzume no Tojimari,https://myanimelist.net/anime/50594/Suzume_no_Tojimari,8.61
84,Suzumiya Haruhi no Shoushitsu,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,8.61
85,Mushishi Zoku Shou: Suzu no Shizuku,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,8.60
86,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,8.60
87,Hajime no Ippo: Rising,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,8.59
88,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,8.58
89,Kizumonogatari II: Nekketsu-hen,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,8.58
90,Natsume Yuujinchou San,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,8.58
91,Ookami Kodomo no Ame to Yuki,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,8.58
92,Natsume Yuujinchou Go,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,8.57
93,Shouwa Genroku Rakugo Shinjuu,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,8.57
94,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,8.57
95,Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,8.57
96,Ousama Ranking,https://myanimelist.net/anime/40834/Ousama_Ranking,8.56
97,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,8.56
98,Karakai Jouzu no Takagi-san Movie,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie,8.56
99,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,8.56
100,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,8.56
101,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,8.55
102,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,8.55
103,Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,8.55
104,Neon Genesis Evangelion: The End of Evangelion,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,8.55
105,Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,8.54
106,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,8.54
107,Bakuman. 3rd Season,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,8.54
108,Kara no Kyoukai Movie 5: Mujun Rasen,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen,8.53
109,Nana,https://myanimelist.net/anime/877/Nana,8.53
110,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,8.53
111,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,8.53
112,Shoujo☆Kageki Revue Starlight Movie,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie,8.53
113,Sora yori mo Tooi Basho,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,8.53
114,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,8.53
115,Yuru Camp△ Season 2,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,8.53
116,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,8.52
117,Gintama Movie 1: Shinyaku Benizakura-hen,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,8.52
118,Gintama.: Porori-hen,https://myanimelist.net/anime/35843/Gintama__Porori-hen,8.52
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,8.52
120,Road of Naruto,https://myanimelist.net/anime/53236/Road_of_Naruto,8.52
121,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render,8.52
122,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo,8.51
123,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,8.51
124,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,8.51
125,Kimetsu no Yaiba,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,8.51
126,Ansatsu Kyoushitsu 2nd Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,8.50
127,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,8.50
128,Uchuu Kyoudai,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,8.50
129,One Punch Man,https://myanimelist.net/anime/30276/One_Punch_Man,8.50
130,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,8.50
131,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,8.49
132,Aria the Origination,https://myanimelist.net/anime/3297/Aria_the_Origination,8.49
133,Banana Fish,https://myanimelist.net/anime/36649/Banana_Fish,8.49
134,Jujutsu Kaisen 0 Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,8.49
135,Rainbow: Nisha Rokubou no Shichinin,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,8.48
136,Yuru Camp△ Movie,https://myanimelist.net/anime/38475/Yuru_Camp△_Movie,8.48
137,Chihayafuru 3,https://myanimelist.net/anime/37379/Chihayafuru_3,8.47
138,Gintama: The Semi-Final,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,8.47
139,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari,8.47
140,Nichijou,https://myanimelist.net/anime/10165/Nichijou,8.46
